OBJECTID,businessUnit_name,businessUnit_number,Description,Type,Address,City,County,State,Postal Code,Operation Status,GlobalID,x,y
38401,CIRCLEVILLE OH,1427,WM Supercenter,Retail,1470 S COURT ST,CIRCLEVILLE,PICKAWAY,OH,43113-2165,Open,9abb5b8e-7666-42bc-87f9-52621f62a952,-9233764.8559,4805412.4558
38402,MT PLEASANT MI,1428,WM Supercenter,Retail,4730 ENCORE BLVD,MOUNT PLEASANT,ISABELLA,MI,48858-6016,Open,fb84753e-d18a-4b3a-ad9f-5f5fede4a259,-9435475.9958,5399605.9044
38403,FREMONT OH,1429,WM Supercenter,Retail,2052 N STATE ROUTE 53,FREMONT,SANDUSKY,OH,43420-8628,Open,e0ca54aa-86b0-4f17-b426-e780a93dd808,-9252874.6276,5067757.8329
38404,OSHKOSH WI,1430,WM Supercenter,Retail,351 S WASHBURN ST,OSHKOSH,WINNEBAGO,WI,54904-7932,Open,cb734e25-a5c5-4e7a-af57-8fcc47cf0e74,-9861379.9148,5467882.1776
38405,KEOKUK IA,1431,WM Supercenter,Retail,300 NO. PARK DRIVE,KEOKUK,LEE,IA,52632-2200,Open,bd299106-5a54-4b45-a312-1ad5b5fe5687,-10175787.1224,4926828.5552
38406,CADILLAC MI,1432,WM Supercenter,Retail,8917 E 34 RD,CADILLAC,WEXFORD,MI,49601-8851,Open,ca372126-31c6-46ec-b589-9314bdb2b915,-9506530.2249,5509517.4453
38407,CELINA OH,1433,WM Supercenter,Retail,1950 HAVEMANN RD,CELINA,MERCER,OH,45822-9300,Open,8d1392a6-119b-4fa2-a850-47c60b1df679,-9411000.6247,4946826.3228
38408,COLORADO SPRINGS CO,1434,WM Supercenter,Retail,707 S 8TH ST,COLORADO SPRINGS,EL PASO,CO,80905-1811,Open,00c3041c-9f54-4e6d-9ae1-be5c3743b79a,-11670464.1292,4696452.6242
38409,CRESTON IA,1435,WM Supercenter,Retail,806 LAUREL ST,CRESTON,UNION,IA,50801-3554,Open,a2b1a0db-0b6d-4662-9f54-fedd9d50ae91,-10505533.9332,5019047.5464
38410,"GREENACRES CITY, FL",1436,WM Supercenter,Retail,6294 FOREST HILL BLVD,GREENACRES,PALM BEACH,FL,33415-6109,Open,5c96ffbc-7442-47cf-be52-c67c954a66e6,-8921430.3059,3079749.8615
38411,GUYMON OK,1437,WM Supercenter,Retail,2600 N HIGHWAY 64,GUYMON,TEXAS,OK,73942-2751,Open,9e72c0b0-4ac8-48aa-a6a4-95c803f6fa24,-11297589.81,4398161.8082
38412,CEDAR CITY UT,1438,WM Supercenter,Retail,1330 S PROVIDENCE CENTER DR,CEDAR CITY,IRON,UT,84720-3956,Open,01b94221-804d-4971-8e8d-f12afe5a654d,-12588933.9744,4530732.0062
38413,"WASHINGTON CITY, UTAH",1439,WM Supercenter,Retail,625 W TELEGRAPH ST,WASHINGTON,WASHINGTON,UT,84780-1541,Open,27e4192f-1bde-460f-955f-b1763ff17cab,-12636764.5087,4456714.3024
38414,TOOELE UT,1440,WM Supercenter,Retail,99 W 1280 N,TOOELE,TOOELE,UT,84074-9093,Open,2b654a91-e28d-4adb-8b5c-32c0ac82a498,-12501253.5115,4947070.4174
38415,"MASON, OH",1441,WM Supercenter,Retail,5303 BOWEN DR,MASON,WARREN,OH,45040-6732,Open,f19ef58f-17dc-4bfc-9902-529e3464e410,-9386363.1723,4766497.7698
38416,PAGE AZ,1442,WM Supercenter,Retail,1017 WEST HAUL ROAD,PAGE,COCONINO,AZ,86040-0000,Open,000d43e1-4396-426b-a649-418ec6147b98,-12410704.1226,4425854.1996
38417,CINCINNATI (SE) OH,1443,WM Supercenter,Retail,4370 EASTGATE SQUARE DR,CINCINNATI,CLERMONT,OH,45245-4502,Open,21afd70c-a36c-431a-829a-6040edead748,-9380855.8632,4734594.1728
38418,JACKSONVILLE FL,1444,WM Supercenter,Retail,9890 HUTCHINSON PARK DR,JACKSONVILLE,DUVAL,FL,32225-7205,Open,8a3107f7-4b98-4130-b411-78c19ba0cd60,-9077596.3007,3547627.056
